player,tm,pos,std,0.5PPR,PPR,SFBX,att,comp,payd,patd,int,sack,car%,car,ruyd,rutd,tgt%,tgt,rec,recyd,rectd,,,,
Tyreek Hill,KCC,WR,180.8,219.3,257.8,234.2,,,,,,,0.016,6,25,0.4,0.21,119,77,1249,8.5,,,,
Robert Woods,LAR,WR,167.9,211.9,255.9,230.4,,,,,,,0.051,21,145,1,0.23,135,88,1114,6,,,,
DeAndre Hopkins,ARZ,WR,163.3,210.3,257.3,227.9,,,,,,,0.005,2,8,0,0.24,135,94,1145,8,,,,
Tyler Lockett,SEA,WR,161.6,204.6,247.6,221.2,,,,,,,0.013,6,24,,0.226,113,86,1112,8,,,,
Juju Smith-Schuster,PIT,WR,153.9,201.9,249.9,219.8,,,,,,,0.003,1,5,0,0.25,146,96,1174,6,,,,
Mike Evans,TBB,WR,164.9,201.9,238.9,215.7,,,,,,,0.002,1,7,0,0.211,130,74,1162,8,,,,
Kenny Golladay,DET,WR,162.9,196.9,230.9,209.5,,,,,,,,,,,0.205,113,68,1149,8,,,,
Allen Robinson,CHI,WR,148,192,236,208.4,,,,,,,0.002,1,4,0,0.25,132,88,1056,7,,,,
DJ Moore,CAR,WR,148.9,190.9,232.9,207,,,,,,,0.012,5,33,0,0.222,126,84,1096,6,,,,
Terry McLaurin,WAS,WR,152.1,191.6,231.1,206.2,,,,,,,,,,,0.22,125,79,1131,6.5,,,,
Amari Cooper,DAL,WR,153.1,191.6,230.1,206.1,,,,,,,0.005,2,10,0,0.2,115,77,1161,6,,,,
Calvin Ridley,ATL,WR,147,188,229,203.5,,,,,,,0.008,3,21,0,0.19,122,82,1089,6,,,,
Tyler Boyd,CIN,WR,138.6,184.6,230.6,202.2,,,,,,,0.012,5,25,0,0.225,128,92,1031,5.5,,,,
Devante Parker,MIA,WR,148.6,184.6,220.6,197.9,,,,,,,,,,,0.23,127,72,1066,7,,,,
Adam Thielen,MIN,WR,145.3,183.3,221.3,197.8,,,,,,,0.009,4,18,0,0.24,118,76,1015,7,,,,
Courtland Sutton,DEN,WR,146.6,183.6,220.6,197.3,,,,,,,,,,,0.235,132,74,1076,6.5,,,,
Julian Edelman,NEP,WR,137,180,223,196.4,,,,,,,0.009,4,17,0,0.239,136,86,993,6,,,,
Keenan Allen,LAC,WR,138.5,180,221.5,195.9,,,,,,,0.013,5,22,0,0.26,133,83,1003,6,,,,
Michael Gallup,DAL,WR,145.6,181.1,216.6,194.4,,,,,,,0.002,1,5,0,0.205,118,71,1121,5.5,,,,
Cooper Kupp,LAR,WR,137.6,178.6,219.6,194.3,,,,,,,0.012,5,24,0,0.198,116,82,992,6,,,,
Marvin Jones,DET,WR,146.2,180.7,215.2,193.7,,,,,,,0.005,2,5,0,0.19,105,69,947,8.5,,,,
AJ Green,CIN,WR,140.2,177.7,215.2,191.6,,,,,,,,,,,0.215,122,75,1012,6.5,,,,
CeeDee Lamb,DAL,WR,143.1,177.6,212.1,190.8,,,,,,,0.01,4,20,0.5,0.19,109,69,991,6.5,,,,
Jamison Crowder,NYJ,WR,129.1,173.6,218.1,190.2,,,,,,,0.003,1,4,0,0.243,127,89,927,6,,,,
Curtis Samuel,CAR,WR,138.2,172.7,207.2,187.6,,,,,,,0.049,20,130,1,0.196,111,69,832,6,,,,
AJ Brown,TEN,WR,140.5,172,203.5,184.2,,,,,,,0.011,5,34,0,0.231,100,63,1011,6,,,,
DK Metcalf,SEA,WR,142.2,172.2,202.2,183.5,,,,,,,0.004,2,13,0,0.202,101,60,959,7.5,,,,
Odell Beckham,CLE,WR,139.9,170.9,201.9,182.8,,,,,,,0.009,4,18,0,0.23,106,62,1021,6,,,,
Jarvis Landry,CLE,WR,131,165,199,177.9,,,,,,,0.007,3,10,0,0.234,108,68,940,6,,,,
Preston Williams,MIA,WR,128.3,163.8,199.3,176.9,,,,,,,,,,,0.21,116,71,893,6.5,,,,
DJ Chark,JAX,WR,128.2,162.2,196.2,174.9,,,,,,,0.002,1,5,0,0.21,109,68,917,6,,,,
Brandin Cooks,HOU,WR,127.8,161.3,194.8,173.9,,,,,,,0.005,2,11,0,0.198,104,67,967,5,,,,
Diontae Johnson,PIT,WR,120.6,157.1,193.6,171.2,,,,,,,0.013,5,27,0,0.205,120,73,879,5,,,,
TY Hilton,IND,WR,121.3,156.8,192.3,169.9,,,,,,,,,,,0.2,108,71,853,6,,,,
Stefon Diggs,BUF,WR,122.9,153.9,184.9,165.6,,,,,,,0.004,2,8,0,0.214,106,62,921,5,,,,
Sterling Shepard,NYG,WR,114,151,188,165.2,,,,,,,0.012,5,33,0,0.21,112,74,807,5,,,,
John Brown,BUF,WR,119.5,152,184.5,164.2,,,,,,,0.004,2,8,0,0.204,101,65,887,5,,,,
Christian Kirk,ARZ,WR,113.6,146.6,179.6,159.9,,,,,,,0.025,10,85,0.5,0.178,100,66,751,4.5,,,,
Parris Campbell,IND,WR,109.2,143.2,177.2,157.2,,,,,,,0.029,13,76,1,0.169,91,68,656,5,,,,
Marquise Brown,BAL,WR,115.6,145.6,175.6,156.9,,,,,,,0.004,2,5,0,0.209,93,60,791,6,,,,
Mecole Hardman,KCC,WR,122.9,143.4,163.9,151.6,,,,,,,0.016,6,25,0.4,0.12,68,41,850,5.5,,,,
Darius Slayton,NYG,WR,111.9,137.4,162.9,146.8,,,,,,,,,,,0.165,88,51,759,6,,,,
Anthony Miller,CHI,WR,101.5,131,160.5,142,,,,,,,0.002,1,4,0,0.17,90,59,711,5,,,,
Hunter Renfrow,LVR,WR,99.1,130.1,161.1,141.6,,,,,,,,,,,0.171,86,62,751,4,,,,
Steven Sims,WAS,WR,93.7,125.2,156.7,137.6,,,,,,,0.018,7,43,0,0.18,102,63,624,4.5,,,,
Denzel Mims,NYJ,WR,99.8,127.3,154.8,137.5,,,,,,,,,,,0.172,90,55,698,5,,,,
Danny Amendola,DET,WR,95.5,125.5,155.5,136.6,,,,,,,,,,,0.165,91,60,655,5,,,,
Justin Jefferson,MIN,WR,99.8,126.3,152.8,136.6,,,,,,,0.011,5,28,0,0.177,87,53,670,5,,,,
Russell Gage,ATL,WR,90,122,154,134.3,,,,,,,0.011,4,19,0,0.149,96,64,641,4,,,,
Henry Ruggs,LVR,WR,99.2,123.7,148.2,133.9,,,,,,,0.026,11,75,0,0.151,76,49,617,5,,,,
Dede Westbrook,JAX,WR,93,121,149,131.6,,,,,,,0.005,2,9,0,0.17,88,56,681,4,,,,
Jalen Reagor,PHI,WR,95.9,121.4,146.9,131.4,,,,,,,0.012,5,33,0.5,0.15,89,51,656,4,,,,
Jerry Jeudy,DEN,WR,91.7,120.2,148.7,131.1,,,,,,,0.008,3,17,0,0.166,93,57,660,4,,,,
Will Fuller,HOU,WR,95.5,121.5,147.5,131.1,,,,,,,,,,,0.145,76,52,715,4,,,,
Golden Tate,NYG,WR,90.6,118.6,146.6,129.3,,,,,,,0.007,3,20,0,0.17,91,56,646,4,,,,
Emmanuel Sanders,NOS,WR,93.2,119.2,145.2,128.8,,,,,,,,,,,0.134,73,52,632,5,,,,
Deebo Samuel,SFO,WR,98.1,119.6,141.1,128.6,,,,,,,0.021,10,95,1,0.126,61,43,586,4,,,,
Robby Anderson,CAR,WR,93.2,117.2,141.2,126.2,,,,,,,0.002,1,5,0,0.15,85,48,687,4,,,,
Cole Beasley,BUF,WR,85.7,114.7,143.7,125.4,,,,,,,,,,,0.188,93,58,617,4,,,,
Kenny Stills,HOU,WR,88.6,113.6,138.6,122.9,,,,,,,,,,,0.135,71,50,646,4,,,,
Larry Fitzgerald,ARZ,WR,81.5,111.5,141.5,122.6,,,,,,,,,,,0.149,84,60,605,3.5,,,,
Mike Williams,LAC,WR,89.7,110.7,131.7,118.8,,,,,,,0.008,3,14,0,0.16,82,42,643,4,,,,
Kendrick Bourne,SFO,WR,85.7,109.7,133.7,118.6,,,,,,,,,,,0.145,70,48,557,5,,,,
Corey Davis,TEN,WR,86.3,108.8,131.3,117.2,,,,,,,0.002,1,5,0,0.164,71,45,618,4,,,,
Sammy Watkins,KCC,WR,83.4,107.4,131.4,116.5,,,,,,,0.005,2,10,0.2,0.139,79,48,632,3,,,,
Mohamed Sanu,NEP,WR,79.3,104.8,130.3,114.4,,,,,,,0.002,1,5,0,0.141,80,51,548,4,,,,
Brandon Aiyuk,SFO,WR,85.6,106.1,126.6,114.3,,,,,,,0.013,6,41,0,0.134,65,41,575,4,,,,
Tyrell Williams,LVR,WR,83.8,105.3,126.8,113.3,,,,,,,,,,,0.129,65,43,658,3,,,,
Allen Lazard,GBP,WR,81.6,104.1,126.6,112.6,,,,,,,0.005,2,11,0,0.125,68,45,565,4,,,,
Michael Pittman,IND,WR,81.5,101.5,121.5,108.9,,,,,,,,,,,0.121,65,40,635,3,,,,
Breshad Perriman,NYJ,WR,81.5,99,116.5,105.6,,,,,,,0.003,1,5,0,0.128,67,35,570,4,,,,
N'Keal Harry,NEP,WR,78.7,96.2,113.7,104.3,,,,,,,0.033,15,106,1,0.12,68,35,441,3,,,,
Adam Humphries,TEN,WR,67.5,89,110.5,97.1,,,,,,,0.002,1,4,0,0.134,58,43,491,3,,,,
Kelvin Harmon,WAS,WR,68.2,88.2,108.2,95.6,,,,,,,,,,,0.109,62,40,502,3,,,,
Laviska Shenault,JAX,WR,63.9,80.4,96.9,87.7,,,,,,,0.027,11,67,0,0.1,52,33,392,3,,,,
DeSean Jackson,PHI,WR,63.1,80.1,97.1,86.4,,,,,,,,,,,0.084,50,34,451,3,,,,
Chase Claypool,PIT,WR,61.5,79,96.5,85.5,,,,,,,,,,,0.109,64,35,435,3,,,,
David Moore,SEA,WR,64.2,77.2,90.2,82.2,,,,,,,0.004,2,16,0,0.112,56,26,446,3,,,,
Randall Cobb,HOU,WR,56.7,74.7,92.7,81.6,,,,,,,0.005,2,12,0,0.103,54,36,405,2.5,,,,
Tee Higgins,CIN,WR,52.1,67.6,83.1,73.3,,,,,,,,,,,0.095,54,31,401,2,,,,
John Ross,CIN,WR,52.8,65.3,77.8,70.2,,,,,,,0.007,3,14,0,0.085,48,25,394,2,,,,
Miles Boykin,BAL,WR,52.4,65.4,78.4,70.2,,,,,,,,,,,0.099,44,26,344,3,,,,
Other WR,ATL,WR,47.7,63.7,79.7,69.6,,,,,,,,,,,0.079,51,32,357,2,,,,
KJ Hamler,DEN,WR,49.6,63.1,76.6,68.7,,,,,,,0.016,6,37,0,0.093,52,27,339,2,,,,
Ted Ginn,CHI,WR,47.9,60.4,72.9,65.2,,,,,,,0.005,2,11,0,0.089,47,25,348,2,,,,
Devin Funchess,GBP,WR,42.8,58.3,73.8,64.1,,,,,,,0.002,1,4,0,0.099,54,31,364,1,,,,
Demarcus Robinson,KCC,WR,47.7,58.7,69.7,62.8,,,,,,,,,,,0.062,35,22,297,3,,,,
Willie Snead,BAL,WR,45.5,58,70.5,62.8,,,,,,,0.004,2,5,0,0.081,36,25,270,3,,,,
Andy Isabella,ARZ,WR,46.8,57.3,67.8,61.7,,,,,,,0.013,5,19,0,0.06,34,21,329,2,,,,
Marquez Valdes-Scantling,GBP,WR,46.9,57.4,67.9,61.4,,,,,,,0.002,1,5,0,0.079,43,21,344,2,,,,
Albert Wilson,MIA,WR,37.3,52.8,68.3,59,,,,,,,0.009,4,31,0,0.085,47,31,282,1,,,,
Olabisi Johnson,MIN,WR,40.9,53.9,66.9,59,,,,,,,0.006,3,16,0,0.079,39,26,273,2,,,,
JJ Arcega-Whiteside,PHI,WR,43.7,54.7,65.7,58.8,,,,,,,,,,,0.074,44,22,317,2,,,,
Jakobi Meyers,NEP,WR,42.3,54.3,66.3,58.7,,,,,,,,,,,0.069,39,24,303,2,,,,
Josh Reynolds,LAR,WR,41.8,52.8,63.8,57.3,,,,,,,0.01,4,24,0,0.075,44,22,334,1,,,,
Phillip Dorsett,SEA,WR,40.8,50.3,59.8,53.8,,,,,,,,,,,0.068,34,19,288,2,,,,
Greg Ward,PHI,WR,33.5,48,62.5,53.6,,,,,,,0.005,2,8,0,0.071,42,29,267,1,,,,
James Washington,PIT,WR,37.3,48.8,60.3,53.1,,,,,,,,,,,0.077,45,23,313,1,,,,
Van Jefferson,LAR,WR,34.6,46.6,58.6,51.2,,,,,,,0.002,1,5,0,0.07,41,24,281,1,,,,
Seth Roberts,CAR,WR,33.7,45.7,57.7,50.1,,,,,,,,,,,0.071,40,24,277,1,,,,
Auden Tate,CIN,WR,33.2,44.2,55.2,48.3,,,,,,,,,,,0.07,40,22,272,1,,,,
Tre'Quan Smith,NOS,WR,35.3,44.3,53.3,47.6,,,,,,,,,,,0.046,25,18,233,2,,,,
Other WR,TEN,WR,32.9,42.9,52.9,46.6,,,,,,,,,,,0.069,30,20,269,1,,,,
Vyncint Smith,NYJ,WR,34,42.5,51,46.1,,,,,,,0.01,4,29,0,0.063,33,17,251,1,,,,
Tyler Johnson,TBB,WR,33.7,42.2,50.7,45.5,,,,,,,0.002,1,8,0,0.049,30,17,209,2,,,,
Allen Hurns,MIA,WR,30.1,41.1,52.1,45.2,,,,,,,,,,,0.06,33,22,241,1,,,,
Antonio Gandy-Golden,WAS,WR,31.3,40.8,50.3,44.3,,,,,,,,,,,0.065,37,19,253,1,,,,
Other WR,DAL,WR,29.3,38.8,48.3,42.3,,,,,,,,,,,0.054,31,19,233,1,,,,
Zach Pascal,IND,WR,30.6,38.6,46.6,41.7,,,,,,,0.002,1,6,0,0.05,27,16,240,1,,,,
KeeSean Johnson,ARZ,WR,24.4,34.4,44.4,38.2,,,,,,,0.003,1,4,0,0.066,37,20,180,1,,,,
Marquise Goodwin,PHI,WR,26.9,34.9,42.9,38,,,,,,,0.002,1,7,0,0.054,32,16,202,1,,,,
Isaiah McKenzie,BUF,WR,24.8,33.3,41.8,37.3,,,,,,,0.017,8,45,0,0.051,25,17,143,1,,,,
Devin Duvernay,BAL,WR,26.2,34.2,42.2,37.2,,,,,,,,,,,0.061,27,16,202,1,,,,
Trent Taylor,SFO,WR,25,33.5,42,36.8,,,,,,,0.002,1,4,0,0.054,26,17,186,1,,,,
Scott Miller,TBB,WR,24.5,31,37.5,33.6,,,,,,,0.005,2,16,0,0.039,24,13,169,1,,,,
Justin Watson,TBB,WR,22.6,30.1,37.6,32.9,,,,,,,,,,,0.042,26,15,166,1,,,,
Other WR,NOS,WR,22.6,29.1,35.6,31.5,,,,,,,,,,,0.04,22,13,166,1,,,,
Chris Conley,JAX,WR,23,28.5,34,30.5,,,,,,,,,,,0.041,21,11,170,1,,,,
Damion Ratley,CLE,WR,22.9,28.4,33.9,30.5,,,,,,,0.002,1,5,0,0.043,20,11,164,1,,,,
Other WR,DEN,WR,20.3,27.3,34.3,29.9,,,,,,,,,,,0.039,22,14,143,1,,,,
Jalen Hurd,SFO,WR,23.5,27.5,31.5,29.8,,,,,,,0.017,8,37,1,0.023,11,8,78,1,,,,
Cordarrelle Patterson,CHI,WR,21.1,25.6,30.1,29.3,,,,,,,0.045,19,116,0.5,0.025,13,9,65,0,,,,
Jakeem Grant,MIA,WR,19.3,25.8,32.3,28.5,,,,,,,0.007,3,22,0,0.04,22,13,141,0.5,,,,
Jaeden Graham,ATL,WR,16.9,23.4,29.9,25.8,,,,,,,,,,,0.03,19,13,109,1,,,,
Other WR,BUF,WR,17.2,23.2,29.2,25.4,,,,,,,,,,,0.044,22,12,112,1,,,,
Keke Coutee,HOU,WR,16.3,22.3,28.3,24.5,,,,,,,,,,,0.036,19,12,133,0.5,,,,
Bryan Edwards,LVR,WR,15.1,21.6,28.1,24,,,,,,,,,,,0.04,20,13,151,0,,,,
G Allison/other,DET,WR,17.1,21.6,26.1,23.3,,,,,,,,,,,0.025,14,9,141,0.5,,,,
Other WR,SEA,WR,17,21.5,26,23.2,,,,,,,,,,,0.026,13,9,110,1,,,,
Joe Reed,LAC,WR,14.3,19.8,25.3,21.8,,,,,,,,,,,0.039,20,11,113,0.5,,,,
Keelan Cole,JAX,WR,14.2,19.2,24.2,21.1,,,,,,,,,,,0.031,16,10,142,0,,,,
Other WR,ARZ,WR,13.3,18.8,24.3,20.8,,,,,,,,,,,0.034,19,11,133,0,,,,
Rashard Higgins,CLE,WR,15.1,18.6,22.1,19.9,,,,,,,,,,,0.035,16,7,91,1,,,,
Other WR,CHI,WR,11.3,16.8,22.3,18.8,,,,,,,,,,,0.03,16,11,113,0,,,,
Marqise Lee,NEP,WR,12.5,17,21.5,18.7,,,,,,,,,,,0.03,17,9,125,0,,,,
Other WR,MIN,WR,11.7,16.7,21.7,18.6,,,,,,,,,,,0.03,15,10,117,0,,,,
Other WR,CAR,WR,10.9,16.4,21.9,18.4,,,,,,,,,,,0.03,17,11,109,0,,,,
Corey Coleman/Other,NYG,WR,11.2,16.2,21.2,18.1,,,,,,,,,,,0.036,19,10,112,0,,,,
Marvin Hall,DET,WR,12.9,16.4,19.9,17.9,,,,,,,0.005,2,8,0,0.02,11,7,121,0,,,,
Cody Latimer,WAS,WR,9.7,13.7,17.7,15.2,,,,,,,,,,,0.025,14,8,97,0,,,,
Other WR,LAC,WR,8.6,13.1,17.6,14.8,,,,,,,,,,,0.029,15,9,86,0,,,,
Other WR,CLE,WR,10.3,13.3,16.3,14.4,,,,,,,,,,,0.022,10,6,73,0.5,,,,
Daesean Hamilton,DEN,WR,8.7,12.7,16.7,14.2,,,,,,,,,,,0.029,16,8,87,0,,,,
Other WR,KCC,WR,10.8,12.8,14.8,13.5,,,,,,,,,,,0.011,6,4,48,1,,,,
Chris Moore,BAL,WR,10,12.5,15,13.4,,,,,,,,,,,0.02,9,5,40,1,,,,
Other WR,GBP,WR,7.6,11.1,14.6,12.4,,,,,,,,,,,0.02,11,7,76,0,,,,
Other WR,NYJ,WR,8.3,11.3,14.3,12.4,,,,,,,,,,,0.021,11,6,83,0,,,,
Deonte Harris,NOS,WR,7.4,10.4,13.4,12,,,,,,,0.012,5,30,0,0.015,8,6,44,0,,,,
Other WR,IND,WR,7.8,10.8,13.8,11.9,,,,,,,,,,,0.02,11,6,78,0,,,,
Andre Patton,LAC,WR,5.9,8.9,11.9,10,,,,,,,,,,,0.02,10,6,59,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,SFBX,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,SFBX,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,SFBX,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,SFBX,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
,,,,,,,Att,Comp,Pa Yd,Pass TD,INT,,,Car,Ru Yd,Ru TD,,FP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,Car,Ru Yd,Ru TD,,Tgt,Standard,,Rec,Rec Yd,TD,,1/2 PPR,PPR,,,,,,
